Horodateur,Quel est ton âge ?,Quel est ton niveau scolaire actuel ?,Quelles sont tes matières préférées à l’école ?,Quelles matières aimes-tu le moins ?,Quel type d’activités préfères-tu en dehors de l’école ?,Préfères-tu travailler seul(e) ou en groupe ?,"Aimes-tu les matières scientifiques (maths, physique, chimie) ?","Préfères-tu les matières littéraires (français, histoire, langues) ?","Es-tu intéressé(e) par les arts (musique, dessin, théâtre) ?",Quel est ton style d’apprentissage préféré ?,Aimes-tu résoudre des problèmes ou des énigmes ?,Te sens-tu à l’aise avec les technologies et l’informatique ?,Aimes-tu travailler avec des chiffres et des données ?,Es-tu attiré(e) par les métiers liés à la santé ou au social ?,Quel est ton niveau en langues étrangères ?,Préfères-tu des métiers créatifs ou techniques ?,Aimes-tu la recherche et l’analyse ?,As-tu déjà une idée du métier que tu aimerais faire plus tard ?,Quel type d’environnement de travail te motive le plus ?,Es-tu prêt(e) à suivre des études longues (plus de 3 ans) ?,Quelle importance accordes-tu à la stabilité de l’emploi dans ton choix de carrière ?,Préfères-tu un métier avec beaucoup de contacts humains ?,Quel rôle voudrais-tu avoir dans une équipe ?,Quelles qualités personnelles te décrivent le mieux ?,Comment gères-tu le stress ou les situations difficiles ?,As-tu déjà participé à des projets ou activités extra-scolaires ?,Quelle place accordes-tu à l’innovation et à la créativité dans ton travail ?,Es-tu intéressé(e) par l’entrepreneuriat ou créer ta propre entreprise ?,Quels sont tes objectifs personnels à court terme (1-2 ans) ?,Comment imagines-tu ta vie professionnelle dans 10 ans ?,Champ convenable
07/07/2025 06:50:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,,Bénévolat / Engagement associatif,En groupe,"Oui, beaucoup",Un peu,Non,"Visuel (images, schémas)","Oui, beaucoup",Oui,Non,Peut-être,Débutant,Les deux,Non,J’ai quelques idées,Travail en extérieur,Peut-être,Très importante,Non,Créatif / innovateur,"Curieux(se), Dynamique",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Créer un projet personnel,Travailler dans un domaine qui me passionne,Technologie / Technique
07/07/2025 06:55:52,Moins de 14 ans,Terminale,Arts plastiques / Musique,,Sorties avec des amis,Ça dépend des situations,"Oui, beaucoup",Un peu,Non,Je ne sais pas,Parfois,Moyennement,Oui,Peut-être,Intermédiaire,Je ne sais pas,Oui,J’ai quelques idées,Travail manuel,Oui,Très importante,Parfois,Je ne sais pas,Curieux(se),Je me sens parfois dépassé(e),"Oui, une fois ou deux",Peu importante,Pas du tout,Créer un projet personnel,Être entrepreneur,Recherche / Sciences
07/07/2025 07:00:52,16-17 ans,Post-bac / Université,"Français, Histoire-Géographie",,"Bénévolat / Engagement associatif, Sports",Seul(e),Pas du tout,"Oui, beaucoup",Oui,"Kinesthésique (faire, manipuler)",Parfois,Non,Oui,Peut-être,Avancé,Créatifs,Non,Pas encore,Travail en extérieur,Peut-être,Peu importante,Parfois,Organisateur / planificateur,Organisé(e),Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,Pas du tout,Trouver un stage,Continuer à apprendre,Lettres / Sciences Humaines
07/07/2025 07:05:52,16-17 ans,Terminale,"Sciences de la vie et de la Terre, Physique-Chimie, Arts plastiques / Musique",,"Bénévolat / Engagement associatif, Jeux vidéo",En groupe,"Oui, beaucoup",Un peu,Un peu,Je ne sais pas,"Oui, beaucoup",Oui,Non,Peut-être,Avancé,Les deux,Un peu,J’ai quelques idées,Je ne sais pas,Non,Très importante,Non,Leader / chef de projet,Organisé(e),Je préfère éviter ces situations,"Oui, une fois ou deux",Peu importante,"Oui, beaucoup",Trouver un stage,Continuer à apprendre,Technologie / Technique
07/07/2025 07:10:52,18 ans et plus,Terminale,"Histoire-Géographie, Français",Langues étrangères,Jeux vidéo,Ça dépend des situations,"Oui, beaucoup",Un peu,Oui,"Visuel (images, schémas)",Parfois,Oui,Oui,Peut-être,Débutant,Techniques,Un peu,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Oui,Exécutant / spécialiste,Patient(e),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,Un peu,Trouver un stage,Être entrepreneur,Informatique / Ingénierie
07/07/2025 07:15:52,16-17 ans,Seconde,Langues étrangères,Arts plastiques / Musique,Jeux vidéo,En groupe,Un peu,Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Non,Courant / bilingue,Techniques,Oui,Pas encore,Travail manuel,Oui,Moyennement importante,Parfois,Exécutant / spécialiste,Curieux(se),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Créer un projet personnel,Être entrepreneur,Recherche / Sciences
07/07/2025 07:20:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,"Mathématiques, Physique-Chimie","Lecture, Sorties avec des amis, Sports",Ça dépend des situations,Un peu,Pas du tout,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Non,Débutant,Créatifs,Oui,Pas encore,Travail manuel,Non,Très importante,Oui,Je ne sais pas,"Dynamique, Patient(e), Curieux(se)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Contribuer à la société,Communication / Marketing
07/07/2025 07:25:52,18 ans et plus,Terminale,"Français, Histoire-Géographie, Mathématiques","Physique-Chimie, Langues étrangères","Sports, Sorties avec des amis, Activités artistiques",Seul(e),Pas du tout,"Oui, beaucoup",Oui,"Visuel (images, schémas)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Techniques,Non,J’ai quelques idées,Laboratoire / recherche,Non,Moyennement importante,Oui,Exécutant / spécialiste,"Organisé(e), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Trouver un stage,Avoir un poste à responsabilités,Arts / Création
07/07/2025 07:30:52,18 ans et plus,Post-bac / Université,Arts plastiques / Musique,Français,Jeux vidéo,En groupe,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,Non,Moyennement,Oui,Non,Intermédiaire,Les deux,Oui,"Oui, clairement",Laboratoire / recherche,Peut-être,Très importante,Oui,Créatif / innovateur,Patient(e),Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,Pas du tout,Réussir mes examens,Continuer à apprendre,Technologie / Technique
07/07/2025 07:35:52,14-15 ans,Post-bac / Université,"Histoire-Géographie, Langues étrangères","Français, Mathématiques",Activités artistiques,En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Non,Oui,Intermédiaire,Créatifs,Oui,"Oui, clairement",Travail en extérieur,Oui,Très importante,Non,Je ne sais pas,"Patient(e), Organisé(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Créer un projet personnel,Travailler dans un domaine qui me passionne,Recherche / Sciences
07/07/2025 07:40:52,18 ans et plus,Terminale,Mathématiques,"Langues étrangères, Français","Sports, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup",Pas du tout,Non,"Visuel (images, schémas)","Oui, beaucoup",Non,Parfois,Non,Intermédiaire,Créatifs,Oui,"Oui, clairement",Laboratoire / recherche,Oui,Peu importante,Non,Leader / chef de projet,"Créatif(ve), Dynamique",Je me sens parfois dépassé(e),Non,Peu importante,Pas du tout,Obtenir mon diplôme,Contribuer à la société,Recherche / Sciences
07/07/2025 07:45:52,18 ans et plus,Terminale,"Langues étrangères, Français, Arts plastiques / Musique","Sciences de la vie et de la Terre, Mathématiques","Jeux vidéo, Lecture, Sports",Seul(e),Un peu,"Oui, beaucoup",Un peu,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Oui,Intermédiaire,Les deux,Un peu,J’ai quelques idées,Travail manuel,Oui,Très importante,Non,Je ne sais pas,"Rigoureux(se), Curieux(se), Dynamique",Je reste calme et cherche des solutions,Non,Moyennement importante,"Oui, beaucoup",Trouver un stage,Continuer à apprendre,Divers
07/07/2025 07:50:52,14-15 ans,Post-bac / Université,"Français, Histoire-Géographie, Sciences de la vie et de la Terre",Arts plastiques / Musique,"Lecture, Sports, Sorties avec des amis",Seul(e),Un peu,Pas du tout,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Je ne sais pas,Peut-être,Peu importante,Parfois,Je ne sais pas,"Rigoureux(se), Créatif(ve)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Pas du tout,Trouver un stage,Être entrepreneur,Divers
07/07/2025 07:55:52,14-15 ans,Seconde,"Mathématiques, Sciences de la vie et de la Terre, Langues étrangères",Histoire-Géographie,"Sports, Lecture",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Non,Avancé,Créatifs,Non,"Oui, clairement",Travail en extérieur,Oui,Très importante,Non,Exécutant / spécialiste,Curieux(se),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Créer un projet personnel,Avoir un poste à responsabilités,Divers
07/07/2025 08:00:52,18 ans et plus,Terminale,"Mathématiques, Langues étrangères",,Jeux vidéo,En groupe,Pas du tout,Pas du tout,Oui,"Kinesthésique (faire, manipuler)",Parfois,Oui,Non,Peut-être,Intermédiaire,Techniques,Non,Pas encore,Travail en extérieur,Oui,Très importante,Oui,Créatif / innovateur,"Organisé(e), Créatif(ve), Rigoureux(se)",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Réussir mes examens,Travailler dans un domaine qui me passionne,Arts / Création
07/07/2025 08:05:52,14-15 ans,Première,Français,Histoire-Géographie,"Jeux vidéo, Lecture, Sports",Seul(e),"Oui, beaucoup",Un peu,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Non,Non,Débutant,Techniques,Oui,Pas encore,Laboratoire / recherche,Non,Peu importante,Non,Je ne sais pas,"Patient(e), Rigoureux(se)",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Obtenir mon diplôme,Contribuer à la société,Technologie / Technique
07/07/2025 08:10:52,16-17 ans,Terminale,"Physique-Chimie, Mathématiques",,Sorties avec des amis,Seul(e),Un peu,Pas du tout,Un peu,"Kinesthésique (faire, manipuler)",Parfois,Moyennement,Non,Peut-être,Intermédiaire,Je ne sais pas,Un peu,J’ai quelques idées,Laboratoire / recherche,Oui,Peu importante,Non,Organisateur / planificateur,Patient(e),Je préfère éviter ces situations,Non,Très importante,Un peu,Trouver un stage,Continuer à apprendre,Divers
07/07/2025 08:15:52,14-15 ans,Terminale,"Sciences de la vie et de la Terre, Langues étrangères, Français",,"Bénévolat / Engagement associatif, Sports",Seul(e),"Oui, beaucoup",Pas du tout,Oui,Je ne sais pas,"Oui, beaucoup",Oui,Non,Peut-être,Débutant,Techniques,Un peu,J’ai quelques idées,Je ne sais pas,Oui,Très importante,Parfois,Créatif / innovateur,"Dynamique, Curieux(se)",Je me sens parfois dépassé(e),Non,Moyennement importante,Un peu,Développer mes compétences,Être entrepreneur,Informatique / Ingénierie
07/07/2025 08:20:52,14-15 ans,Seconde,"Sciences de la vie et de la Terre, Arts plastiques / Musique","Langues étrangères, Français",Sorties avec des amis,Seul(e),Pas du tout,Un peu,Un peu,"Kinesthésique (faire, manipuler)",Parfois,Oui,Parfois,Non,Intermédiaire,Les deux,Oui,J’ai quelques idées,Je ne sais pas,Peut-être,Moyennement importante,Oui,Leader / chef de projet,"Rigoureux(se), Curieux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Un peu,Obtenir mon diplôme,Être entrepreneur,Divers
07/07/2025 08:25:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,"Mathématiques, Français","Sorties avec des amis, Jeux vidéo",En groupe,Pas du tout,Pas du tout,Non,"Visuel (images, schémas)",Parfois,Oui,Parfois,Non,Intermédiaire,Créatifs,Non,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Non,Organisateur / planificateur,"Patient(e), Curieux(se)",Je préfère éviter ces situations,Non,Moyennement importante,"Oui, beaucoup",Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Divers
07/07/2025 08:30:52,16-17 ans,Post-bac / Université,"Français, Mathématiques, Histoire-Géographie",,"Bénévolat / Engagement associatif, Activités artistiques, Sports",En groupe,"Oui, beaucoup","Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Parfois,Non,Intermédiaire,Je ne sais pas,Un peu,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Parfois,Créatif / innovateur,"Rigoureux(se), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Créer un projet personnel,Continuer à apprendre,Divers
07/07/2025 08:35:52,18 ans et plus,Terminale,Sciences de la vie et de la Terre,,"Sorties avec des amis, Lecture, Activités artistiques",Ça dépend des situations,"Oui, beaucoup",Un peu,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Non,Non,Avancé,Créatifs,Oui,J’ai quelques idées,Travail manuel,Oui,Très importante,Non,Créatif / innovateur,"Rigoureux(se), Créatif(ve), Organisé(e)",Je me sens parfois dépassé(e),Non,Moyennement importante,"Oui, beaucoup",Obtenir mon diplôme,Avoir un poste à responsabilités,Recherche / Sciences
07/07/2025 08:40:52,18 ans et plus,Terminale,"Physique-Chimie, Sciences de la vie et de la Terre",Français,"Jeux vidéo, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Auditif (écoute, explications orales)",Non,Moyennement,Parfois,Peut-être,Débutant,Les deux,Oui,"Oui, clairement",Je ne sais pas,Oui,Très importante,Parfois,Exécutant / spécialiste,Curieux(se),Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,Pas du tout,Trouver un stage,Avoir un poste à responsabilités,Informatique / Ingénierie
07/07/2025 08:45:52,16-17 ans,Terminale,"Arts plastiques / Musique, Histoire-Géographie","Langues étrangères, Français",Sports,En groupe,Un peu,Pas du tout,Non,Je ne sais pas,Parfois,Moyennement,Oui,Non,Intermédiaire,Créatifs,Non,"Oui, clairement",Bureau / travail sur ordinateur,Oui,Moyennement importante,Non,Je ne sais pas,"Créatif(ve), Patient(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,"Oui, beaucoup",Obtenir mon diplôme,Être entrepreneur,Divers
07/07/2025 08:50:52,16-17 ans,Terminale,"Arts plastiques / Musique, Physique-Chimie, Français",,"Jeux vidéo, Bénévolat / Engagement associatif, Sorties avec des amis",Ça dépend des situations,Pas du tout,"Oui, beaucoup",Un peu,Je ne sais pas,Non,Non,Parfois,Non,Intermédiaire,Les deux,Non,Pas encore,Je ne sais pas,Non,Moyennement importante,Non,Exécutant / spécialiste,Patient(e),Je reste calme et cherche des solutions,Non,Peu importante,Pas du tout,Développer mes compétences,Avoir un poste à responsabilités,Divers
07/07/2025 08:55:52,18 ans et plus,Première,"Histoire-Géographie, Mathématiques","Sciences de la vie et de la Terre, Langues étrangères",Lecture,Ça dépend des situations,Un peu,Pas du tout,Non,"Auditif (écoute, explications orales)",Parfois,Oui,Parfois,Non,Avancé,Techniques,Non,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Oui,Leader / chef de projet,"Patient(e), Dynamique, Curieux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Continuer à apprendre,Santé / Social
07/07/2025 09:00:52,18 ans et plus,Seconde,"Sciences de la vie et de la Terre, Langues étrangères","Arts plastiques / Musique, Mathématiques","Sorties avec des amis, Jeux vidéo, Lecture",Seul(e),Un peu,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Non,Non,Intermédiaire,Les deux,Non,"Oui, clairement",Travail manuel,Non,Très importante,Non,Je ne sais pas,"Rigoureux(se), Créatif(ve)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Un peu,Développer mes compétences,Travailler dans un domaine qui me passionne,Divers
07/07/2025 09:05:52,16-17 ans,Post-bac / Université,"Français, Langues étrangères, Histoire-Géographie",,"Sorties avec des amis, Activités artistiques",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Un peu,Je ne sais pas,Parfois,Oui,Oui,Peut-être,Avancé,Techniques,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Peut-être,Moyennement importante,Parfois,Je ne sais pas,"Rigoureux(se), Curieux(se), Organisé(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Réussir mes examens,Continuer à apprendre,Technologie / Technique
07/07/2025 09:10:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,"Mathématiques, Français",Activités artistiques,En groupe,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,Parfois,Non,Non,Peut-être,Intermédiaire,Créatifs,Un peu,"Oui, clairement",Travail en extérieur,Non,Très importante,Parfois,Créatif / innovateur,"Curieux(se), Patient(e)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Trouver un stage,Contribuer à la société,Divers
07/07/2025 09:15:52,Moins de 14 ans,Première,"Sciences de la vie et de la Terre, Français, Mathématiques","Langues étrangères, Physique-Chimie","Sorties avec des amis, Sports",Seul(e),Un peu,"Oui, beaucoup",Non,Je ne sais pas,Parfois,Oui,Parfois,Non,Avancé,Créatifs,Non,J’ai quelques idées,Laboratoire / recherche,Oui,Moyennement importante,Oui,Organisateur / planificateur,"Dynamique, Rigoureux(se), Patient(e)",Je préfère éviter ces situations,Non,Moyennement importante,Un peu,Créer un projet personnel,Être entrepreneur,Lettres / Sciences Humaines
07/07/2025 09:20:52,16-17 ans,Post-bac / Université,"Mathématiques, Français",Physique-Chimie,Bénévolat / Engagement associatif,En groupe,"Oui, beaucoup",Pas du tout,Non,"Kinesthésique (faire, manipuler)",Parfois,Non,Oui,Oui,Avancé,Techniques,Non,J’ai quelques idées,Travail manuel,Oui,Peu importante,Oui,Créatif / innovateur,Créatif(ve),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Créer un projet personnel,Être entrepreneur,Informatique / Ingénierie
07/07/2025 09:25:52,18 ans et plus,Post-bac / Université,Physique-Chimie,"Histoire-Géographie, Langues étrangères","Jeux vidéo, Sports, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup",Un peu,Un peu,Je ne sais pas,Non,Moyennement,Non,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Je ne sais pas,Oui,Très importante,Oui,Organisateur / planificateur,Curieux(se),Je reste calme et cherche des solutions,Non,Peu importante,Pas du tout,Développer mes compétences,Être entrepreneur,Communication / Marketing
07/07/2025 09:30:52,18 ans et plus,Terminale,"Français, Langues étrangères, Arts plastiques / Musique",Sciences de la vie et de la Terre,"Sports, Lecture",Ça dépend des situations,Pas du tout,Un peu,Non,Je ne sais pas,Parfois,Moyennement,Parfois,Oui,Avancé,Créatifs,Non,"Oui, clairement",Je ne sais pas,Non,Moyennement importante,Oui,Exécutant / spécialiste,"Curieux(se), Patient(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Communication / Marketing
07/07/2025 09:35:52,16-17 ans,Première,Sciences de la vie et de la Terre,,"Bénévolat / Engagement associatif, Sorties avec des amis, Lecture",Ça dépend des situations,Pas du tout,Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Oui,Intermédiaire,Techniques,Oui,"Oui, clairement",Bureau / travail sur ordinateur,Peut-être,Très importante,Non,Exécutant / spécialiste,"Curieux(se), Patient(e), Dynamique",Je me sens parfois dépassé(e),Non,Moyennement importante,"Oui, beaucoup",Réussir mes examens,Être entrepreneur,Divers
07/07/2025 09:40:52,18 ans et plus,Terminale,"Physique-Chimie, Français",,"Bénévolat / Engagement associatif, Lecture, Jeux vidéo",En groupe,Un peu,Pas du tout,Non,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Non,Avancé,Créatifs,Un peu,"Oui, clairement",Je ne sais pas,Non,Très importante,Non,Créatif / innovateur,Dynamique,Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Continuer à apprendre,Divers
07/07/2025 09:45:52,14-15 ans,Post-bac / Université,"Français, Physique-Chimie",,Sports,Seul(e),Un peu,Pas du tout,Oui,"Auditif (écoute, explications orales)",Parfois,Oui,Non,Oui,Avancé,Créatifs,Un peu,Pas encore,Laboratoire / recherche,Non,Très importante,Parfois,Organisateur / planificateur,"Dynamique, Organisé(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Pas du tout,Trouver un stage,Être entrepreneur,Arts / Création
07/07/2025 09:50:52,16-17 ans,Première,Sciences de la vie et de la Terre,Français,"Sports, Lecture, Activités artistiques",Ça dépend des situations,Un peu,"Oui, beaucoup",Non,"Auditif (écoute, explications orales)",Parfois,Moyennement,Oui,Non,Avancé,Créatifs,Un peu,"Oui, clairement",Je ne sais pas,Peut-être,Moyennement importante,Non,Créatif / innovateur,"Dynamique, Patient(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Créer un projet personnel,Travailler dans un domaine qui me passionne,Lettres / Sciences Humaines
07/07/2025 09:55:52,18 ans et plus,Seconde,Histoire-Géographie,"Langues étrangères, Sciences de la vie et de la Terre","Activités artistiques, Sorties avec des amis, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup","Oui, beaucoup",Oui,"Auditif (écoute, explications orales)",Parfois,Oui,Parfois,Non,Courant / bilingue,Les deux,Non,"Oui, clairement",Laboratoire / recherche,Peut-être,Très importante,Non,Organisateur / planificateur,"Patient(e), Curieux(se)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Travailler dans un domaine qui me passionne,Technologie / Technique
07/07/2025 10:00:52,14-15 ans,Post-bac / Université,"Sciences de la vie et de la Terre, Français","Langues étrangères, Histoire-Géographie","Activités artistiques, Sports",Seul(e),Un peu,Un peu,Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Débutant,Créatifs,Un peu,Pas encore,Laboratoire / recherche,Oui,Très importante,Oui,Leader / chef de projet,Rigoureux(se),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Trouver un stage,Travailler dans un domaine qui me passionne,Arts / Création
07/07/2025 10:05:52,14-15 ans,Terminale,Mathématiques,,"Bénévolat / Engagement associatif, Lecture",Ça dépend des situations,Un peu,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Avancé,Créatifs,Non,J’ai quelques idées,Laboratoire / recherche,Non,Très importante,Parfois,Leader / chef de projet,Curieux(se),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Développer mes compétences,Être entrepreneur,Lettres / Sciences Humaines
07/07/2025 10:10:52,14-15 ans,Première,"Sciences de la vie et de la Terre, Histoire-Géographie","Français, Mathématiques","Sorties avec des amis, Activités artistiques",Seul(e),"Oui, beaucoup","Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Parfois,Moyennement,Oui,Non,Courant / bilingue,Créatifs,Un peu,J’ai quelques idées,Je ne sais pas,Peut-être,Moyennement importante,Oui,Organisateur / planificateur,"Créatif(ve), Patient(e), Dynamique",Je reste calme et cherche des solutions,Non,Moyennement importante,Pas du tout,Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Lettres / Sciences Humaines
07/07/2025 10:15:52,18 ans et plus,Terminale,Français,,Activités artistiques,En groupe,Un peu,"Oui, beaucoup",Non,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Peut-être,Courant / bilingue,Techniques,Oui,Pas encore,Travail manuel,Oui,Moyennement importante,Parfois,Organisateur / planificateur,"Organisé(e), Patient(e)",Je reste calme et cherche des solutions,Non,Moyennement importante,Un peu,Trouver un stage,Être entrepreneur,Recherche / Sciences
07/07/2025 10:20:52,18 ans et plus,Terminale,"Histoire-Géographie, Arts plastiques / Musique, Sciences de la vie et de la Terre","Physique-Chimie, Français","Sports, Bénévolat / Engagement associatif",Seul(e),"Oui, beaucoup",Un peu,Un peu,"Visuel (images, schémas)",Parfois,Moyennement,Parfois,Peut-être,Intermédiaire,Créatifs,Oui,"Oui, clairement",Je ne sais pas,Peut-être,Très importante,Oui,Exécutant / spécialiste,"Créatif(ve), Patient(e), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Un peu,Obtenir mon diplôme,Continuer à apprendre,Communication / Marketing
07/07/2025 10:25:52,18 ans et plus,Première,"Arts plastiques / Musique, Mathématiques",Langues étrangères,Bénévolat / Engagement associatif,Seul(e),Pas du tout,Un peu,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Non,Débutant,Les deux,Non,J’ai quelques idées,Travail manuel,Non,Moyennement importante,Parfois,Créatif / innovateur,Rigoureux(se),Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Avoir un poste à responsabilités,Divers
07/07/2025 10:30:52,18 ans et plus,Première,Langues étrangères,"Arts plastiques / Musique, Sciences de la vie et de la Terre","Sorties avec des amis, Sports, Jeux vidéo",En groupe,"Oui, beaucoup",Un peu,Un peu,Je ne sais pas,"Oui, beaucoup",Moyennement,Non,Oui,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Je ne sais pas,Oui,Très importante,Parfois,Exécutant / spécialiste,"Patient(e), Créatif(ve), Organisé(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Obtenir mon diplôme,Avoir un poste à responsabilités,Recherche / Sciences
07/07/2025 10:35:52,Moins de 14 ans,Terminale,Langues étrangères,"Physique-Chimie, Histoire-Géographie","Sorties avec des amis, Jeux vidéo, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup",Un peu,Oui,"Visuel (images, schémas)",Parfois,Moyennement,Non,Non,Intermédiaire,Créatifs,Un peu,Pas encore,Travail en extérieur,Non,Peu importante,Oui,Créatif / innovateur,"Curieux(se), Créatif(ve)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Obtenir mon diplôme,Avoir un poste à responsabilités,Arts / Création
07/07/2025 10:40:52,14-15 ans,Seconde,Sciences de la vie et de la Terre,Français,"Jeux vidéo, Sorties avec des amis",Ça dépend des situations,Pas du tout,Pas du tout,Non,"Visuel (images, schémas)",Parfois,Oui,Non,Non,Avancé,Créatifs,Un peu,J’ai quelques idées,Travail en extérieur,Oui,Très importante,Oui,Je ne sais pas,"Rigoureux(se), Curieux(se), Dynamique",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Continuer à apprendre,Communication / Marketing
07/07/2025 10:45:52,18 ans et plus,Post-bac / Université,"Mathématiques, Histoire-Géographie, Langues étrangères","Arts plastiques / Musique, Français","Jeux vidéo, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Oui,Non,Avancé,Créatifs,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Oui,Créatif / innovateur,Curieux(se),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Communication / Marketing
